date and time (UTC),image name,radiation
2017-07-19 11:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001100381_e20172001111148_c20172001111193.nc,2.0
2017-07-19 11:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001115381_e20172001126148_c20172001126195.nc,12.0
2017-07-19 11:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001130381_e20172001141148_c20172001141191.nc,30.0
2017-07-19 11:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001145381_e20172001156148_c20172001156193.nc,73.0
2017-07-19 12:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001200381_e20172001211148_c20172001211192.nc,107.0
2017-07-19 12:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001215381_e20172001226148_c20172001226190.nc,121.0
2017-07-19 12:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001230381_e20172001241148_c20172001241191.nc,185.0
2017-07-19 12:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001245381_e20172001256148_c20172001256192.nc,290.0
2017-07-19 13:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001300381_e20172001311148_c20172001311191.nc,573.0
2017-07-19 13:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001315381_e20172001326148_c20172001326191.nc,549.0
2017-07-19 13:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001330381_e20172001341148_c20172001341192.nc,617.0
2017-07-19 13:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001345381_e20172001356148_c20172001356194.nc,661.0
2017-07-19 14:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001400381_e20172001411148_c20172001411193.nc,701.0
2017-07-19 14:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001415381_e20172001426148_c20172001426191.nc,765.0
2017-07-19 14:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001430381_e20172001441148_c20172001441190.nc,812.0
2017-07-19 14:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001445381_e20172001456148_c20172001456191.nc,889.0
2017-07-19 15:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001500381_e20172001511148_c20172001511192.nc,921.0
2017-07-19 15:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001515381_e20172001526148_c20172001526191.nc,239.0
2017-07-19 15:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001530381_e20172001541148_c20172001541192.nc,674.0
2017-07-19 15:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001545381_e20172001556148_c20172001556190.nc,961.0
2017-07-19 16:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001600381_e20172001611148_c20172001611195.nc,1027.0
2017-07-19 16:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172001615381_e20172001626148_c20172001626192.nc,469.0
