date,radiation
2017-11-01 11:05:00,6
2017-11-01 11:20:00,15
2017-11-01 11:35:00,16
2017-11-01 11:50:00,59
2017-11-01 12:05:00,138
2017-11-01 12:20:00,345
2017-11-01 12:35:00,117
2017-11-01 12:50:00,132
2017-11-01 13:05:00,449
2017-11-01 13:20:00,521
2017-11-01 13:35:00,638
2017-11-01 13:50:00,166
2017-11-01 14:05:00,211
2017-11-01 14:20:00,247
2017-11-01 14:35:00,447
2017-11-01 14:50:00,309
2017-11-01 15:05:00,257
2017-11-01 15:20:00,784
2017-11-01 15:35:00,280
2017-11-01 15:50:00,581
2017-11-01 16:05:00,320
2017-11-01 16:20:00,271
2017-11-01 16:35:00,910
2017-11-01 16:50:00,918
2017-11-01 17:05:00,1044
2017-11-01 17:20:00,1006
2017-11-01 17:35:00,1064
2017-11-01 17:50:00,906
2017-11-01 18:05:00,821
2017-11-01 18:20:00,783
2017-11-01 18:35:00,347
2017-11-01 18:50:00,872
2017-11-01 19:05:00,843
2017-11-01 19:20:00,792
2017-11-01 19:35:00,739
2017-11-01 19:50:00,685
2017-11-01 20:05:00,679
2017-11-01 20:20:00,608
2017-11-01 20:35:00,550
2017-11-01 20:50:00,476
2017-11-01 21:05:00,340
2017-11-01 21:20:00,315
2017-11-01 21:35:00,212
2017-11-01 21:50:00,125
2017-11-01 22:05:00,35
2017-11-01 22:20:00,25
2017-11-01 22:35:00,4
2017-11-02 11:05:00,16
2017-11-02 11:20:00,64
2017-11-02 11:35:00,115
2017-11-02 11:50:00,116
2017-11-02 12:05:00,191
2017-11-02 12:20:00,241
2017-11-02 12:35:00,366
2017-11-02 12:50:00,426
2017-11-02 13:05:00,361
2017-11-02 13:20:00,568
2017-11-02 13:35:00,564
2017-11-02 13:50:00,190
2017-11-02 14:05:00,180
2017-11-02 14:20:00,216
2017-11-02 14:35:00,564
2017-11-02 14:50:00,509
2017-11-02 15:05:00,721
2017-11-02 15:20:00,792
2017-11-02 15:35:00,947
2017-11-02 15:50:00,543
2017-11-02 16:05:00,231
2017-11-02 16:20:00,241
2017-11-02 16:35:00,239
2017-11-02 16:50:00,974
2017-11-02 17:05:00,931
2017-11-02 17:20:00,823
2017-11-02 17:35:00,275
2017-11-02 17:50:00,790
2017-11-02 18:05:00,361
2017-11-02 18:20:00,317
2017-11-02 18:35:00,178
2017-11-02 18:50:00,417
2017-11-02 19:05:00,92
2017-11-02 19:20:00,49
2017-11-02 19:35:00,72
2017-11-02 19:50:00,166
2017-11-02 20:05:00,273
2017-11-02 20:20:00,371
2017-11-02 20:35:00,509
2017-11-02 20:50:00,165
2017-11-02 21:05:00,265
2017-11-02 21:20:00,297
2017-11-02 21:35:00,59
2017-11-02 21:50:00,36
2017-11-02 22:05:00,38
2017-11-02 22:20:00,14
2017-11-02 22:35:00,4
2017-11-03 11:05:00,6
2017-11-03 11:20:00,32
2017-11-03 11:35:00,35
2017-11-03 11:50:00,52
2017-11-03 12:05:00,57
2017-11-03 12:20:00,94
2017-11-03 12:35:00,83
2017-11-03 12:50:00,100
2017-11-03 13:05:00,184
2017-11-03 13:20:00,281
2017-11-03 13:35:00,257
2017-11-03 13:50:00,357
2017-11-03 14:05:00,283
2017-11-03 14:20:00,337
2017-11-03 14:35:00,772
2017-11-03 14:50:00,807
2017-11-03 15:05:00,868
2017-11-03 15:20:00,889
2017-11-03 15:35:00,887
2017-11-03 15:50:00,472
2017-11-03 16:05:00,298
2017-11-03 16:20:00,437
2017-11-03 16:35:00,470
2017-11-03 16:50:00,345
2017-11-03 17:05:00,721
2017-11-03 17:20:00,752
2017-11-03 17:35:00,860
2017-11-03 17:50:00,869
2017-11-03 18:05:00,785
